 1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62  63  64  65  66  67  68  69  70  71  72  73  74  75  76  77  78  79  80  81  82  83  84  85  86  87  88  89  90  91  92  93  94  95  96  97  98  99  100  Valor_Jogo  Valor_Jogos
13 15  1 22 13  7  5 24 21   7  17   5  21  14   9  23  23   8   1  14   5   8  10  21   8  20  10   1   4  21   2   1   8   3   7   5  20   1  15  20  17  14   6  12   2   3   8   2   8   7  12   7  21  22  17  19  17   7   5  11   1  11   9   3   3  20  22  14  13   2   7  12  10  12   2   3  20  10  14  20  22  12  17  12  12   8  19   7   6  18  24  19   4   1   4   7  18  16  13   14        2040       204000
20 24 16 24 23  1 18 16 22  14   1  16  13   5  17  20  11  15  11  10  11  18  21   9  17  10   3  22   1   4  11  10   3  10  23  19   3  17   2   8  16  11  17   7  12  16  15  11  21  12  20  21  10   4  12   4   8  20  17   7  10   4   4  17   1   8   8   8  18   6  20  18   1  20  16  13   9  23  15   3   7  23   3   2   3  24   3  22  11  13  19  15  21  24   7  17  15   6  24    3        2040       204000
16 18  4  2 24  8  2 22  4  12  24   3   1  13  24  22  10   3   6   8   2  14   3   5   9  17  23   5  12   7  18   9  19  17  17   6  14   4  20  17   1  12   4   5  14  11   5   1   4  16   9   8  16  10  18  16   3  22  24  15  21  21   7  21  23  21  23  24  11   9  12  20  18  14  13   9  14  12  16   2   2   6  18  20  20  12   4  11   5  22   9  11  13  10   3  20  10  10   6   13        2040       204000
 2 21  3 23  5 17 14 15 23  18  16  12  11  23   1  14  16  11   8   6  24  13  19  18   2  22   6  16  14  10   3   4  16  15   6  20   8  16  18  13  19   9  18   3   8  15  13  21  12  19  10   9  20  21  21   7  10  16  22  24  22   6  12  16  14   6  13  19   3  18  10   8  22  24  15  17  18  19  22  17   8  16  16   8  10  10  20  13  16  24   1  24  19   8  10  23  12   1   9   10        2040       204000
14 14 21  1  6  9  8 14 24   2   4  24   4   2  18  10  19   2  16  22   4  17  16  23   7  18   2  24  23  19   5  22  22  21  11  24  19   3   1  22   6  20  11   8  20  18  19   7   9  23  23   5  24   5  24  17  15   9  16  12  24   7  10  23  13   4  12   5   4  19  19  22   6  23  21  15  10  24  10   4   6   5  15   7   4   1   8   1  15   7  22   9  11   3  13  13   7  22  15   11        2040       204000
22  7 15  7 10 12 24  4  9  17   7   6  19  12  22  11  14  13   9   1   3   1   5  22  12   9  13  21   2   5  23  14   4   4   3   7  21  20   6   5  23   7   2  19  23   9   3   5  22   1   3  11   7   7   9  21  21   8  21  10  15   9   5  22   5   5  15   3   2  13  11   2   2  22  19   6  22   7   3  23  18  21  14   5   5   2  24  10  23  11   8  21  22  16  11  22  16  24  20   21        2040       204000
10 22 18  8  4 24  9 12 16   5   3  22  17  11   5  19  22   4   5   7  17  12  24  10   4   6  14  11   8  18  17  21  18  18  12   9  12   9  23  16  10  22  14  22  22   2   1  18   5  10   2   1   1   1  16  12  13  12  19  22   9  15  16   8   2  15  19  13  24  15  16  10  20  17  12  14   8   3  18  15   9  14   4   9   7  21   1   2   9  19  13  10  16  11  23  12   3   7  10   20        2040       204000
 8 16 10  4 19  3  4 13  1  20   9   1   5  10   7  16   4  20  23  24   6  22  15  17   6  19  11   6   5  23   9   8  15   1  18  13  11  22   5  14  14   6  13  15  16  22  11   9  23  24  24  22   8  17   4  15  11  14   9   4   5  20  13  12  19  19   6  16  23   1   3  21   5  18  17  18   6   4  21  21  12   4   2  11  22   6  18   5   4  14  23   7   9   9  21  16   4   5  16   12        2040       204000
23 12 24 15 15  4 22 19  7   8  15  17   3  15   2   8   1  16   2  18  15  23  20  19  19  24   5  23  19  16  22  12  24   2   4   1   4  13  22  23   7  17   1  23  17  12   2  10  10   2  17  24  19  19  19   8   1  19  20  19  23  23  24  13  12   9   9  17  16  20  22   1  24   6   9  19  23  18  19   1   5  20   7  23  21  23   6   4  20   8  16   3   2  12  22   5  14  11  11    8        2040       204000
21  3  2 12 21 13 11  1 11   3   6   8  18  22  15  13   5   9  24  15  18  11  18  11  10  11  22  13   9  14  20   7  17   5  14   3  13   5   7  11  21   1   9  17  15  19  12  13  18  20   5  17  17   6   2  24  22   5   4   6  20   8   8  19   6  17   2  22  22  11   4  24   4   2   6  10   5   8  11   8  14  10  21   6   2  13  13   9   8  10  10  23   1  15  17   8   2   3  17   24        2040       204000
 1 23 14 19  9 22  1 21  2  16  14  15  22  17  23   4   8   1  19   2  23  24  17   2  23  12  12   2   6   1  14   5   7  20   5   2   9   8  10   3  11  16  24  11   6   4  22  12  16  17  19  15   2  11   5  23  16  18   6  13  18   1  11   9   7  24   7  15  17   3  15  13  14  21  23  16  24  11   2  18   1   1  23  24   8  16  17  21  22  17  20  22   5  17   5   4   8   2   7    4        2040       204000
 7  2 20  6 12 15  3  9 15   9  20  13  24  18   4  12   7  17  17  12  13   2   6  16  18   2   4  20  18   6  21  20  12   7   8  17   2  12  19  24  20  15   5   9   7   7  16  16   6  14   6  10   4  16  13  11   9   2   3  16  12   3   6   7   4  11  11   2   5  16  17   9  23   7  20  11  11   2  13   6  16  18  19  17  24   3  14  14  12   2   3  12   6  22   8  14  17  12  19   18        2040       204000
 4  1 19 18  2 10 19 23 19  10  18  21  14   9   8   7  12  22  21  20  12  21  23  12   5   8  19   4  16   9   7   6   2  23  20  21  22   6  11   1   8  19  19  20   9  17  20   4  17  13   4  14  18  24  14   3  14   6  13  18   7  24  18   6   8  16   1  18   7   5   2  16  12  15  10  20  12  14   4  11  21   3   6   4   1  20   5   6   2   9  11   4  12  20   1  11   6  14  18   15        2040       204000
19 11  6 21  1 19 10 20 17  11  22  10  23  21   3   2  17  14  15   3  10  10  13  14  22  23   8  10  20  13  15  17   9  19  22   8  16   7  24   2  22   5  16  21   3   5  24   3  15  22  21  16   5   8   7   1   2  17  18   2   8  14  17   5  17   7  20   6   1  21  23   6   9  10   3   1  19   1  23  24  13  11  20  18  15  17  16  12  17   1   4  17  23   5  12   3  20  17   8   23        2040       204000
 5 19  7  3 14 14  7  5  3  21  21   7  16   8  11  21  20   5  10  21  16   4  22   4  24  13  17   7   7   2  24  18  14   9  16  14   6  14  12  12  15  23  12  18   5  10   6  24  14   6   8   6  13  13  11  20  23  24   8   8   4  18  23  14  10  22   5   9   9  10   8   4  15   5  18  22   4   5   8   7   3   8  12   3  11  11   2  18  18   5  21  14  14  19  19   1  11  20   5    6        2040       204000
 9  4 12 20 11 23  6 10 20  13  10   2   9   7  16  18   2  18  12  11   1   6   4   6  15  15  18   9   3  12  13  16   5  16  19  18   5  19  14   7  24  10  15  24  13  14   4  17   1   8   7   3   3  20  23  22  12  10  11  23  11  19   2   4  16   1  24  11  21   4  24  23  21  11  11   8  16  22  20  12  23  17   8  10  14   9  21  19  14   3  17  13  17   4  14  18  23  19   4    7        2040       204000
12 13  5 10 22  6 20  8 12  15   8  23  10   3  21   3   3  12  14  23  20   5   9  24  11  16  15  14  24  20   8  11  21  12   9  11  23  15   3  10   3  21  10   4  24  23  17  14   3   3  14   4   9   3  10   5   4  15  23  14  13   5  14  11  20   2  16  10   6  14   9   3  17  16   4   7   7  21   9  22  20  22  11  14   6  14  22   3  19  23   7  16  15   6   6  15   1   9   3   17        2040       204000
11  8  9 16  3 20 12  3  5  22  12  18  12   4  19  24  15   6  20  13   7   3  11  13  13   4   7  17  22  17   1  24   6  13  24  15   7  10  16  19  13  24  20  16  18  21   7   6   2  15  18  13  15   9  22   2   6  23   7   5  17  13  15  24   9  12  21  21  14  23   5  15  19   3   5   5   1  15   5   5  24   2   5  22  23  22  10  23  10   6   2   1  24  23  20   6  13  15  23    2        2040       204000
