 1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62  63  64  65  66  67  68  69  70  71  72  73  74  75  76  77  78  79  80  81  82  83  84  85  86  87  88  89  90  91  92  93  94  95  96  97  98  99  100  Valor_Jogo  Valor_Jogos
 7  4 20  2 16 20  2 13  8  24  24  22  15  14  13   3  15  11  19  20  21  11   6   8   5  11  18   5   9  17   7  13   8  15   1  11   5   8   2  22  22   1   5  20   4   6  19  23  14   1  19  24   2   6  12  16   3   6  22   2  23  10  13  11  10   8  15  11   7   5  20  17  24  11   2  23  12  15  14  14  14  18   7  13   7   6   3  15   6   2  18  19  15  15  17   7  23  22   2   12         2.5        250.0
11 24  2  8  3  5  5 22 16  21  13   2   5   7   8  19   4  17   9  21  24  20  20   2   6   8   1  13  14  18   4  18  16  11   4  23   7   1  13   5   8  17  22  18  13  18  11  11  18  15  15  23  15  15   7  14  10   1   8   9   2   5  20   4  13  18  21  17  16  23   9   5  13  23  24  18  13   6  19  13  20   4  15  14   6  22   7  12  21   1   6  17  23  19   8  13  15  24   7   13         2.5        250.0
15 10 17 15 20 10 13  3  4   7  20   7   8  13   7   5  16  12  20   2  18  10  13   1  15   3  24  14   4  24  18  10  20  20  13  21  10  10   8  24  19   5  14  24  11  15  24   5  10  14  21  18  22  18  23  20  13  21  23   5   7  15   3  13   1   7   2  12  13   9   1  22  12  13   3  20   3   1   3  19  15   3   2   2   2  14  13  17  17   9   4   2   7   9  14   6  13   8   8    3         2.5        250.0
18 11 10  6  9 12 15  5 19   3   5  11  13  23  24  20   9   1   1   6   8  17  24   5  11   9  17   9   3  13   1  19  10   5  20   2  21   9   4  15  10   6  16   1   2  19  13  21  19   2  13  22  24  21  19   5   9  20   4   6  16   1  23  21   3  10   5  22  24  18  23   6  19   9  22   1  14  13  20   5  18  12  16   3  13  13   2  18   9  10  14   6   8  23  24  15   9  16  23   17         2.5        250.0
 5  5 21 13 22  2 20 17  3  13   3   3   6  17  19  18  23   8   7  22  11  19  22  20   1  10  14  10  19   6  14   3  12   8  14  13  19  15  16  19   6  10   2  10  12  23   8  19   5  13  22  13   6   9  11  15   6  16  10   4  15   4   8  15  18  20   1  16   9  13  19  10  15  20  21  12   4  14  16   9  24  13   3   5  19   7  20   9  20  13   8  24  10  16   2   5  24  19  14   19         2.5        250.0
 4  6 24 24 17  6  6  2 17  12  14   5   4  20  17  24   8  13  15  24   9   2   9  10   2  16  12   2  16  19  21  11   7  21  12   5   4  19   3  17  14  16   7   8  14  14  15  22   2   9   4   9   4  13  24   8  20  24  13  15  22   7   9   5  21  21  12   9   8   6  14   3   9   7  17  14   1  23   1   8   4  17  19  23  23   8  14  10  14  18   2  22  11   3   3  11  18  21  11   16         2.5        250.0
17  7 19 20 18 24  7  6  9   4   1  15   7  12  20  22  19   3   2   9   1   1   5  23  20  15  23  19  15  20  19  21   6  17   3  15   9  13  15  18  11  11  24   6  17  11  20  20   7  16   9  15  16  16   1   2  16   8   5  19  14  23   7   1   7  15  19   8  14  16  24   9  17   3  14   7   9  18  15  23   6  11  23  11  10  16   1  24   8  22  16  10   9  12  12  10   4  17   9   20         2.5        250.0
13 12  7 14 13  4  9 10 11   5  12  18  16  15   5   1   1  23  11  23  15   9   1  17   8  17  21  16   6  15  15  14  21  16  19  10  14  24   6  14  16   9  21  17  10  21   4  12  23  11   8   6  23   7  16   1   8  15  17  22   4  19  17  19  17  17  13   3  15  21  12  16  16   2   4   8  17  21   6  12   2  15  11  19   4   3   5  20  22  11   9  11  12  24  22   2   7   2   5   22         2.5        250.0
 9  1 14 19 11 14  3  4  6  20  10   6  23   1  23  16  24  20  24  10  19   4   8   7  10   7   7  24  23   3  13  22   9  22  15   6   1  22  11   9   3  24  12   5   5   2   2  10   8  24  14  12  12  10  18   9   5   5  24  24   1  12  10  24  11  11  23   4  23  10  11   8   1  18  19  19  21  10   8  20  22  24  20  18  15   9  17   1   1   6   7   5  16   4  11  16  17   7   3   10         2.5        250.0
23  9 13 21  8 11 14 19 10  18   7  12  19   4  22  15  18  24   5  12   4  12   4  14  19  24  16   6  11   5  23  16  15   7   9  24  11  14  23   8  18  20  13   4   7   7  22   4  20  22   5   4   8  11  14  17   1  22   7  12  17  16   4  14  20   5  22   1  12   4  15  12  22  19  16   2   8  24  18  18  19   9  22  15  14  10  23  23  19  16   5  18  24   2  16   8  20  23  16    6         2.5        250.0
